,code,state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,81,Jordan,,,,,66.8,,,,,,,,,,,,,,,,,,,,,,,,89.89,,91.13,,92.2,,,92.55,95.9,97.89,,,,,,98.23,,,
82,82,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,Kazakhstan,,,,,,,,,,,,,,,97.53,,,,,,,,,,99.51,,,,,,,,,,99.73,99.78,,,,,,,,99.78,,,
84,84,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,82.23,,,,,,,72.16,,,,,,,78.73,,,,81.53,,,
85,85,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,,,,,,,,,99.24,,,,,,,,,99.59,,,
86,86,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,67.34,,,,,,73.61,,,,76.87,76.14,,,,,78.06,80.53,,,,,,
87,87,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.97,,,,,,,,,,,,,
88,88,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,Kuwait,59.56,,,,,67.52,,,,,74.49,,,,,,,,,,78.4,,,,,,,,,,93.27,93.28,93.66,93.9,,94.47,,95.51,95.59,,95.69,,96.04,96.06,,96.46,
90,90,Laos,,,,,,,,,,,,,,,,,,,,,60.25,,,,,69.58,68.73,,,,72.7,,,,,,58.29,,,,84.66,,,,,,
91,91,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.61,,91.18,,,,,,,,,95.07,,,
92,92,Liberia,,,,,,,,,,32.11,,,,,,,,,,,,,,,,,,,,,,,42.94,,,,,,,,,,48.3,,,,
93,93,Libya,,,,,,,,,,60.16,,,,,,,,,,76.5,,,,,,,,,,86.1,,,,,,,,,,,,,,,,,
94,94,Sri Lanka,,,,,,,86.78,,,,,,,,,,,,,,,,,,,,90.68,,,,,90.81,,90.56,,91.18,,,,,,92.39,91.9,91.71,92.25,,
95,95,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,86.25,,,,,,,,,75.8,,,,,76.64,,,,,,,
96,96,Lithuania,,,,,,,,,,,,,,,98.44,,,,,,,,,,,,99.65,,,,,,,,,,99.82,,,,,,,,,,
97,97,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,Latvia,,,,,,,,,,,,,,,99.45,,,,,,,,,,,99.75,,,,,,,,,,,99.9,,,,,,,99.89,,,
99,99,Morocco,,,,,,,,30.26,,,,,,,,,,,,41.59,,,,,,,,,,52.31,,,,55.15,56.08,,67.08,69.43,,75.59,,,,73.75,,,
100,100,Moldova,,,,,,,,,,,,,,,96.38,,,,,,,,,,,96.65,,,,,,,,,,,,,,99.36,,,,,,,
101,101,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,70.69,,,,,58.94,,,,64.48,,,71.57,,,,,,76.68,,,
102,102,Mexico,,,,,,82.99,,,,,,,,,,87.56,,,,,,,,,,90.54,,90.27,,90.95,91.63,91.73,92.8,92.93,93.44,93.07,93.52,94.23,93.96,94.56,94.47,94.86,94.97,95.38,,95.25,
103,103,Macedonia,,,,,,,,,,,,,,,,,,,,94.06,,,,,,,,96.13,,,,,,,,,,,,97.8,,,,,,98.36,
104,104,Mali,,9.43,,,,,,,,,,,,,,,,,,,,,,19.04,,,,,24.0,,,26.18,,,,31.1,30.62,,,,33.07,,,35.47,,30.76,
105,105,Myanmar,,,,,,,,,78.57,,,,,,,,,,,,,,,,,89.94,,,,,,,,,,,,,,,,75.55,,,89.07,,
106,106,Montenegro,,,,,,,89.64,,,,,,,,,,93.46,,,,,,,,,,,,97.77,,,,,,,,98.44,,,,,,,98.85,,,
107,107,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,97.77,,,,,,,,,,98.26,,,,,,,,98.42,,99.18,
108,108,Mozambique,,,,,,27.0,,,,,,,,,,,,,,,,,38.71,,,,,,48.16,,,,,,50.58,,,,,,56.04,,60.66,,,,
109,109,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,51.21,,,,,,,45.5,,,,,,62.07,,,,53.5,,,,
110,110,Malawi,,,,,,,,,,,,,48.54,,,,,,,,,,,64.13,,,,,,,,,,,,61.31,,,,65.15,62.14,,,,,,
111,111,Malaysia,,,,,,69.52,,,,,,,,,,,82.92,,,,,,,,,88.69,,,,,,,,,,93.12,,,,,,94.88,95.08,94.85,94.97,,
112,112,Namibia,,,,,,,,,,,,,,,,,75.82,,,,,,,,,,84.94,,,,,,76.49,,,,88.27,,,,,,,91.53,,,
113,113,New Caledonia,,91.3,,,,,,,,,,,,,93.08,,,,,,,96.14,,,,,,,,,,,,,,,,,,97.8,,,,,,,
114,114,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38,,,,28.67,,,,,,,30.56,,,,,,35.05,,,
115,115,Nigeria,,,,,,,,,,,,,,,,,55.45,,,,,,,,,,,,54.77,,,70.2,,51.08,,,,,,,,,,62.02,,,
116,116,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,76.68,,,,78.0,,,,,,,,,,82.61,,,,,,
117,117,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,Nepal,,,,,,,20.57,,,,,,,,,,32.98,,,,,,,,,,48.61,,,,,,,,,,59.63,,,,,,,67.91,,,
120,120,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.36,,,,,86.62,,86.94,,,,91.98,93.04,94.9,95.58,95.65,,,
122,122,Pakistan,,,,,,,25.73,,,,,,,,,,,,,,,,,42.7,,,,,,,49.87,54.15,52.14,55.53,54.89,55.38,54.74,56.76,55.59,56.98,,,59.13,57.01,58.0,,
123,123,Panama,,,,,,88.07,,,,,,,,,,88.78,,,,,,,,,,91.9,,,,,,,,,,94.09,,,,,,,,95.41,95.74,,
124,124,Peru,,,,,,,81.92,,,,,,,,,,,,87.15,,,,,,,,,,,87.67,87.91,88.7,89.59,,,,,93.84,,93.71,94.16,94.17,94.15,94.41,,94.5,
125,125,Philippines,,,,,,83.32,,,,,,,,,,93.57,,,,93.92,,,,,,92.6,,,92.59,,,,,95.42,,,,,96.4,,98.18,,,,96.28,,
126,126,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,57.34,,,,,,,,,,61.6,,,,,,,,,,,
127,127,Poland,,,,98.74,,,,,,,,,,98.74,,,,,,,,,,98.74,,,,,,,,,,98.74,,,,,,,,,,,,,
128,128,Puerto Rico,,,,,,86.75,,,,,,,,,,89.62,,,,,,,,,,,,,,,,,,,,91.97,,,,,,,92.39,,,,
129,129,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,
130,130,Portugal,,,,,,,79.44,,,,,,,,,,87.95,,,,,,,,,,,,,,,,,,,,94.48,,,,,,,96.14,,,
131,131,Paraguay,,,,,,,,78.46,,,,,,,,,,90.27,,,,,,,,,,,,,,,94.56,93.29,93.75,93.87,,94.2,95.06,95.03,95.55,94.65,,94.02,93.21,94.54,
132,132,Qatar,,,,,,,,,,,,75.64,,,,,,,,,,,83.26,,,,,,,86.73,,,90.06,91.01,91.15,91.78,91.36,90.17,90.63,91.33,,93.15,93.46,,,,
133,133,Romania,,,,,,,,,,,,,,,,,,96.71,,,,,,,,,,97.3,,,,,,,,,98.6,,,,,,,98.84,,,
134,134,Russia,,,,,,,,,,,,,,,97.99,,,,,,,,,,,,,99.44,,,,,,,,99.68,,,,,,,,99.73,,,
135,135,Rwanda,,,,38.24,,,,,,,,,,,,,57.85,,,,,,,,,64.89,,,,,,,,,,65.85,,68.33,,70.8,,,,73.22,,,
136,136,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,Saudi Arabia,,,,,,,,,,,,,,,,,,70.82,,,,,,,,79.35,,,,82.86,,,,,,,,,94.43,,,,95.33,,,97.59,
138,138,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,61.35,,,,,,,,53.52,,,,,,,,,,60.7,,,
139,139,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,Senegal,,,,,,,,,,,,,,26.87,,,,,,,,,,,,,,39.28,,,,41.89,,,48.04,,51.81,,43.53,,,,51.9,,,,
141,141,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,76.6,,,,,,,,,,76.6,,,,,,,,,,,,
142,142,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.83,,,,,,,,,32.43,,,,,43.21,,,
143,143,El Salvador,,,,,,,,,,,,,,,,,,74.14,,,,,,,,,,,,,,83.56,82.03,83.95,84.1,84.49,85.49,,86.77,,87.97,88.14,88.48,89.01,89.14,,
144,144,Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,Republic of Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,,,,,,,,97.96,,,,,98.84,,,99.48,,
147,147,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6,,,,94.62,,94.68,,92.87,,,,,,94.38,,,
148,148,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,Slovenia,,,,,,,,,,,,,,,,,99.52,,,,,,,,,,,,,99.7,,,,,,,,,,99.7,,,,,,,
150,150,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,Swaziland,,55.33,,,,,,,,,,67.24,,,,,,,,,,,,,,81.66,,,,,,,,,,83.1,,,,,,,,88.42,,,
152,152,Syria,,,,,,,55.65,,,,,,,,,,,,,,,,,,,,,82.89,,80.84,,,,,,,,,,,,,,,,,
153,153,Chad,,,,,,,,,,,,,,,,,,,10.89,,,,,,,25.65,,,,28.38,,,,,,,,,,,26.0,22.31,,,,,
154,154,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,53.18,,,,,,56.89,,,57.09,,60.41,,,,63.75,,,,66.54,,
155,155,Thailand,,,,,,87.98,,,,,,,,,,,,,,,,,,,,92.65,,,,,93.51,,,,,96.43,,,93.7,,92.87,,,93.77,,,
156,156,Tajikistan,,,,,,,,,,,,,,,97.69,,,,,,,,,,,99.45,,,,,,,,,,,,,,99.8,,,,,,,
157,157,Turkmenistan,,,,,,,,,,,,,,,,,,,,,98.78,,,,,,,,,,,,,,,,,,,99.7,,,,,,,
158,158,East Timor,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,50.6,,,58.31,,,,,,,,68.07,,,
159,159,Trinidad and Tobago,,,,,,94.97,,,,,,,,,,96.94,,,,,,,,,,97.9,,,,,,,,,,98.7,,,,,,,,,,,
160,160,Tunisia,,,,,,,,,,48.19,,,,,,,,,,,,,,,,,,,,74.3,,,77.19,77.71,,79.13,79.65,80.22,,79.04,,,,,,,
161,161,Turkey,61.63,,,,,65.69,,,,,75.97,,,,,79.23,,,,,,,,,,,,,,87.37,88.23,88.12,88.66,,90.82,92.66,94.11,94.92,95.26,95.44,95.6,96.17,96.15,,96.74,,
162,162,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,163,United Republic of Tanzania,,,,,,,,,,,,,,59.11,,,,,,,,,,,,,,69.43,,,,,,,,67.8,,78.1,,,77.89,,,,,,
164,164,Uganda,,,,,,,,,,,,,,,,,56.11,,,,,,,,,,,68.14,,,,71.37,,,,73.21,,70.2,,,,,,76.53,,,
165,165,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43,,,,,,,,,,,99.97,,,,,,,,,
166,166,Uruguay,93.86,,,,,,,,,,95.38,,,,,,,,,,,96.78,,,,,,,,,,97.79,97.86,98.16,98.27,98.07,98.34,98.4,98.36,98.44,98.52,98.56,98.62,98.7,98.77,,
167,167,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,168,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,98.64,,,,,,,,,,,,,99.99,99.98,99.98,99.99,,99.99,100.0,,
169,169,Venezuela,,,,,,,84.73,,,,,,,,,89.83,,,,,,,,,,,92.98,,,,,,95.15,,95.51,,94.77,,,,96.61,97.13,,,,,
170,170,Vietnam,,,,,83.83,,,,,,,,,,87.6,,,,,,,,,,90.28,90.16,,,,,,,,,93.52,,,,,,,,,,95.75,,
171,171,Vanuatu,,,,,52.87,,,,,58.2,,,,,,,,,,68.7,,,,,74.0,,,,,78.4,,,,,,,,,,84.7,,,,87.51,,,
172,172,West Bank,,,,,,,,,,,,,,,,,,,,,,,86.08,,,,,,,92.48,,93.45,93.76,94.01,94.43,94.72,95.03,95.67,96.05,96.21,96.48,96.72,96.92,97.22,97.38,97.51,
173,173,Yemen,,,,,,,,,,,,,,,,,,,,37.09,,,,,,,,,,54.1,,,,,,,,,,,,,,,,,
174,174,South Africa,,,,,,76.2,,,,,,,,,,,,,,,,82.4,,,,,,,,,,,88.72,,92.89,92.88,93.1,93.73,,94.14,94.37,,87.05,,95.02,,
175,175,Zambia,,,,,,,,,,,,,,,,65.0,,,,,,,,,68.0,,,69.15,,,,,61.13,,,83.01,,,,,,,,86.75,,,
176,176,Zimbabwe,,,,,,,,77.79,,,,,,,,,,83.51,,,,,,,,,,,,,,,,,,,83.58,,,88.69,,,,,,,
